index,cosine_similarity
0,0.8047115206718445
1,0.8899028897285461
2,0.7659460306167603
3,0.7427547574043274
4,0.7827703356742859
5,0.7989464998245239
6,0.8906431198120117
7,0.9293379187583923
8,0.8315734267234802
9,0.8418800830841064
10,0.8004480004310608
11,0.8927872776985168
12,0.814294159412384
13,0.9247123003005981
14,0.8609393239021301
15,0.9368270635604858
16,0.8270736932754517
17,0.7809590101242065
18,0.8884925842285156
19,0.7833608388900757
20,0.8043817281723022
21,0.7898930907249451
22,0.8819769620895386
23,0.8792991638183594
24,0.7907016277313232
25,0.7025012373924255
26,0.7717027068138123
27,0.7993286848068237
28,0.9435134530067444
29,0.8949697613716125
30,0.7413243651390076
31,0.7466191053390503
32,0.9107429385185242
33,0.8240765333175659
34,0.7809514999389648
35,0.8259142637252808
36,0.9270975589752197
37,0.8568698167800903
38,0.7735589742660522
39,0.9429051876068115
40,0.881832480430603
41,0.861366331577301
42,0.7396338582038879
43,0.7389546036720276
44,0.907139778137207
45,0.8583332896232605
46,0.7706881165504456
47,0.7033247351646423
48,0.8654814958572388
49,0.8044857382774353
50,0.781139612197876
51,0.8451008200645447
52,0.7618580460548401
53,0.7160548567771912
54,0.8710610866546631
55,0.7879729270935059
56,0.7881807684898376
57,0.9291538596153259
58,0.9187741279602051
59,0.8119487762451172
60,0.8797974586486816
61,0.7201607823371887
62,0.9015488028526306
63,0.8215957283973694
64,0.78699791431427
65,0.884617805480957
66,0.7966526746749878
67,0.86234050989151
68,0.7729015350341797
69,0.8536348938941956
70,0.6976873278617859
71,0.9449977874755859
72,0.9771386384963989
73,0.7262476682662964
74,0.9033060669898987
75,0.7811811566352844
76,0.8504412770271301
77,0.8585636019706726
78,0.7967268228530884
79,0.7923184633255005
80,0.8641947507858276
81,0.6567288041114807
82,0.9057984948158264
83,0.9675478339195251
84,0.7997138500213623
85,0.7026017308235168
86,0.8353991508483887
87,0.8634219169616699
88,0.8699936866760254
89,0.748672366142273
90,0.7365971803665161
91,0.8864327073097229
92,0.805302619934082
93,0.6477527618408203
94,0.7829380035400391
95,0.6258329749107361
96,0.8111399412155151
97,0.8741369247436523
98,0.920962929725647
99,0.7491325736045837
100,0.8548224568367004
101,0.9060550332069397
102,0.8608799576759338
103,0.8674232363700867
104,0.8454045057296753
